"time","Time","HSShftTq","GenTq","Wind1VelX","RtVAvgxh","BldPitch1","NacYaw","RefGenSpd","GenSpeed","RotSpeed","LSSGagPxa","Azimuth","GenAccel","YawBrTAxp","YawBrTAyp"
2.5000000000000006E-001,2.5000000000000000E-001,2.1786841849951211E+003,2.8038785000000003E+003,1.1000000000000000E+001,1.0399384981709206E+001,8.3564712460717316E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.7292830286692169E+000,7.7998814535484104E+000,1.1655919563470791E+001,1.1791679054838287E+001,-1.9607348081386181E+001,1.4399005724182536E+000,-1.2314479935560092E-001
2.6000000000000006E-001,2.6000000000000001E-001,2.2539533596982428E+003,2.9160337500000001E+003,1.1000000000000000E+001,1.0424373803155399E+001,8.5564730587914617E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.6956065513257155E+000,7.7692440816010082E+000,1.2118675873776981E+001,1.2258758060638598E+001,-2.0758795282968073E+001,1.4401674883777302E+000,-1.2416399750212050E-001
2.7000000000000007E-001,2.7000000000000002E-001,2.3381718706388033E+003,3.0281889999999999E+003,1.1000000000000000E+001,1.0450541579135281E+001,8.7564727370770679E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.6602421388318973E+000,7.7377791780569511E+000,1.2579358701685971E+001,1.2723971885300703E+001,-2.1630830794248908E+001,1.4374881838160711E+000,-1.2482670537907463E-001
2.8000000000000008E-001,2.8000000000000003E-001,2.4315761329124775E+003,3.1403440000000001E+003,1.1000000000000000E+001,1.0477424356516572E+001,8.9564713481456193E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.6236627919585285E+000,7.7059093563627128E+000,1.3037880773478500E+001,1.3187283539247488E+001,-2.2215992850023401E+001,1.4318735080594465E+000,-1.2513132898851387E-001
2.9000000000000009E-001,2.8999999999999998E-001,2.5342966006633487E+003,3.2524992499999998E+003,1.1000000000000000E+001,1.0504550738134746E+001,9.1564715600397562E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.5863501774898872E+000,7.6740573481500567E+000,1.3494183673510241E+001,1.3648681420577892E+001,-2.2510211174554559E+001,1.4231993269643552E+000,-1.2505851682133851E-001
3.0000000000000010E-001,2.9999999999999999E-001,2.6463600995469092E+003,3.3646542500000000E+003,1.1000000000000000E+001,1.0531451497217446E+001,9.3564744399765365E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.5487903840740422E+000,7.6426424373859518E+000,1.3948237958466487E+001,1.4108179205519136E+001,-2.2512711776981462E+001,1.4114762538096810E+000,-1.2460874450664995E-001
3.1000000000000011E-001,3.1000000000000000E-001,2.7676837287319395E+003,3.4768095000000003E+003,1.1000000000000000E+001,1.0557665219003161E+001,9.5564709166109829E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.5114680278783172E+000,7.6120746883374091E+000,1.4400043363912616E+001,1.4565815479061280E+001,-2.2225966459758499E+001,1.3966698801717374E+000,-1.2376705499349494E-001
3.2000000000000012E-001,3.2000000000000001E-001,2.8980807796511858E+003,3.5889647500000001E+003,1.1000000000000000E+001,1.0582741695161033E+001,9.7564716621136438E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.4748606867716028E+000,7.5827508001085304E+000,1.4849628505023736E+001,1.5021653052047339E+001,-2.1655908131835464E+001,1.3788373627536135E+000,-1.2253301452172531E-001
3.3000000000000013E-001,3.3000000000000002E-001,3.0372585573767169E+003,3.6727842500000002E+003,1.1000000000000000E+001,1.0606244287128414E+001,9.9564745420504264E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.4394334852766155E+000,7.5550490445727254E+000,1.5297050317503889E+001,1.5475778006910710E+001,-2.0811574361150917E+001,1.3580073610498327E+000,-1.2089862281053888E-001
3.4000000000000014E-001,3.4000000000000002E-001,3.1666119173458987E+003,3.7426979999999999E+003,1.1000000000000000E+001,1.0627749696249845E+001,1.0156471018684863E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.4079676906640861E+000,7.5293400532774095E+000,1.5742469112926541E+001,1.5928298505963976E+001,-1.7620757127316171E+001,1.3341483304502879E+000,-1.1777533048055945E-001
3.5000000000000014E-001,3.5000000000000003E-001,3.2935103560828807E+003,3.7982602500000003E+003,1.1000000000000000E+001,1.0646858863648506E+001,1.0356471764187529E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3797381571932945E+000,7.5059685374959928E+000,1.6186065730407563E+001,1.6379345608419886E+001,-1.5857018628865873E+001,1.3074056293599632E+000,-1.1480768488351974E-001
